TSR,-5°,-4.5°,-4°,-3.5°,-3°,-2.5°,-2°,-1.5°,-1°,-0.5°,0°,0.5°,1°,1.5°,2°,2.5°,3°,3.5°,4°,4.5°,5°
2.471649511,0.0183,0.021650000000000003,0.025,0.02845,0.0319,0.03555,0.0392,0.04305,0.0469,0.05075,0.0546,0.0584,0.0622,0.0658,0.0694,0.07275000000000001,0.0761,0.07930000000000001,0.0825,0.0854,0.0883
2.471649511,0.0183,0.021650000000000003,0.025,0.02845,0.0319,0.03555,0.0392,0.04305,0.0469,0.05075,0.0546,0.0584,0.0622,0.0658,0.0694,0.07275000000000001,0.0761,0.07930000000000001,0.0825,0.0854,0.0883
2.535025139,0.0209,0.0245,0.0281,0.0319,0.0357,0.0397,0.0437,0.0478,0.0519,0.056,0.0601,0.064,0.0679,0.0716,0.0753,0.07875,0.0822,0.0854,0.0886,0.09154999999999999,0.0945
2.636426145,0.0256,0.029699999999999997,0.0338,0.0382,0.0426,0.0471,0.0516,0.0561,0.0606,0.06495000000000001,0.0693,0.07335,0.0774,0.08124999999999999,0.0851,0.0886,0.0921,0.09534999999999999,0.0986,0.10164999999999999,0.1047
2.636426145,0.0256,0.029699999999999997,0.0338,0.0382,0.0426,0.0471,0.0516,0.0561,0.0606,0.06495000000000001,0.0693,0.07335,0.0774,0.08124999999999999,0.0851,0.0886,0.0921,0.09534999999999999,0.0986,0.10164999999999999,0.1047
2.636426145,0.0256,0.029699999999999997,0.0338,0.0382,0.0426,0.0471,0.0516,0.0561,0.0606,0.06495000000000001,0.0693,0.07335,0.0774,0.08124999999999999,0.0851,0.0886,0.0921,0.09534999999999999,0.0986,0.10164999999999999,0.1047
2.746277234,0.0314,0.036199999999999996,0.041,0.046,0.051,0.05595,0.0609,0.06575,0.0706,0.07515,0.0797,0.0839,0.0881,0.09204999999999999,0.096,0.09955,0.1031,0.10644999999999999,0.1098,0.11295,0.1161
2.824742298,0.0363,0.041550000000000004,0.0468,0.05215,0.0575,0.06275,0.068,0.07300000000000001,0.078,0.0827,0.0874,0.0917,0.096,0.09995000000000001,0.1039,0.10755,0.1112,0.1146,0.118,0.12125,0.1245
2.824742298,0.0363,0.041550000000000004,0.0468,0.05215,0.0575,0.06275,0.068,0.07300000000000001,0.078,0.0827,0.0874,0.0917,0.096,0.09995000000000001,0.1039,0.10755,0.1112,0.1146,0.118,0.12125,0.1245
2.883591096,0.0402,0.0458,0.0514,0.057050000000000003,0.0627,0.06815,0.0736,0.07869999999999999,0.0838,0.0885,0.0932,0.09759999999999999,0.102,0.10594999999999999,0.1099,0.1136,0.1173,0.12085,0.1244,0.12764999999999999,0.1309
2.929362383,0.0435,0.04935,0.0552,0.061,0.0668,0.07235,0.0779,0.08310000000000001,0.0883,0.0931,0.0979,0.10225000000000001,0.1066,0.11065,0.1147,0.11845,0.1222,0.1258,0.1294,0.13269999999999998,0.136
2.995938801,0.0486,0.0548,0.061,0.067,0.073,0.07869999999999999,0.0844,0.0897,0.095,0.09985,0.1047,0.1091,0.1135,0.11760000000000001,0.1217,0.12555,0.1294,0.13305,0.1367,0.1401,0.1435
3.042030167,0.0522,0.05865000000000001,0.0651,0.07125000000000001,0.0774,0.0832,0.089,0.09434999999999999,0.0997,0.10455,0.1094,0.11385,0.1183,0.12245,0.1266,0.13055,0.1345,0.13824999999999998,0.142,0.14534999999999998,0.1487
3.075830502,0.0551,0.061649999999999996,0.0682,0.07444999999999999,0.0807,0.08654999999999999,0.0924,0.09775,0.1031,0.108,0.1129,0.1174,0.1219,0.1261,0.1303,0.1343,0.1383,0.14205,0.1458,0.1492,0.1526
3.295532681,0.0747,0.082,0.0893,0.096,0.1027,0.10880000000000001,0.1149,0.12040000000000001,0.1259,0.131,0.1361,0.14100000000000001,0.1459,0.15055000000000002,0.1552,0.1595,0.1638,0.16765000000000002,0.1715,0.17475000000000002,0.178
3.295532681,0.0747,0.082,0.0893,0.096,0.1027,0.10880000000000001,0.1149,0.12040000000000001,0.1259,0.131,0.1361,0.14100000000000001,0.1459,0.15055000000000002,0.1552,0.1595,0.1638,0.16765000000000002,0.1715,0.17475000000000002,0.178
3.295532681,0.0747,0.082,0.0893,0.096,0.1027,0.10880000000000001,0.1149,0.12040000000000001,0.1259,0.131,0.1361,0.14100000000000001,0.1459,0.15055000000000002,0.1552,0.1595,0.1638,0.16765000000000002,0.1715,0.17475000000000002,0.178
3.295532681,0.0747,0.082,0.0893,0.096,0.1027,0.10880000000000001,0.1149,0.12040000000000001,0.1259,0.131,0.1361,0.14100000000000001,0.1459,0.15055000000000002,0.1552,0.1595,0.1638,0.16765000000000002,0.1715,0.17475000000000002,0.178
3.295532681,0.0747,0.082,0.0893,0.096,0.1027,0.10880000000000001,0.1149,0.12040000000000001,0.1259,0.131,0.1361,0.14100000000000001,0.1459,0.15055000000000002,0.1552,0.1595,0.1638,0.16765000000000002,0.1715,0.17475000000000002,0.178
3.295532681,0.0747,0.082,0.0893,0.096,0.1027,0.10880000000000001,0.1149,0.12040000000000001,0.1259,0.131,0.1361,0.14100000000000001,0.1459,0.15055000000000002,0.1552,0.1595,0.1638,0.16765000000000002,0.1715,0.17475000000000002,0.178
3.295532681,0.0747,0.082,0.0893,0.096,0.1027,0.10880000000000001,0.1149,0.12040000000000001,0.1259,0.131,0.1361,0.14100000000000001,0.1459,0.15055000000000002,0.1552,0.1595,0.1638,0.16765000000000002,0.1715,0.17475000000000002,0.178
3.51523486,0.0961,0.1038,0.1115,0.1184,0.1253,0.1315,0.1377,0.1436,0.1495,0.15515,0.1608,0.16620000000000001,0.1716,0.17654999999999998,0.1815,0.18595,0.1904,0.19415,0.1979,0.2004,0.2029
3.549035195,0.0994,0.10715,0.1149,0.1218,0.1287,0.135,0.1413,0.14725,0.1532,0.159,0.1648,0.17020000000000002,0.1756,0.18059999999999998,0.1856,0.1901,0.1946,0.1983,0.202,0.20425,0.2065
3.595126561,0.1041,0.1119,0.1197,0.1266,0.1335,0.13985,0.1462,0.1523,0.1584,0.1643,0.1702,0.1757,0.1812,0.18625,0.1913,0.19585,0.2004,0.20395,0.2075,0.20945,0.2114
3.661702979,0.1108,0.11860000000000001,0.1264,0.13335000000000002,0.1403,0.14685,0.1534,0.15975,0.1661,0.17215,0.1782,0.18380000000000002,0.1894,0.19455,0.1997,0.20425,0.2088,0.21205000000000002,0.2153,0.2162,0.2171
3.707474266,0.1155,0.12329999999999999,0.1311,0.1381,0.1451,0.1518,0.1585,0.16494999999999999,0.1714,0.17754999999999999,0.1837,0.1894,0.1951,0.20029999999999998,0.2055,0.21,0.2145,0.21755,0.2206,0.22175,0.2229
3.766323064,0.1214,0.1292,0.137,0.14415,0.1513,0.1582,0.1651,0.17175,0.1784,0.18464999999999998,0.1909,0.19669999999999999,0.2025,0.2078,0.2131,0.2175,0.2219,0.22455,0.2272,0.22810000000000002,0.229
